title,category
Contractor Line-Breaking Deviation During Drain Line Isolation,Safety
Contractor Hot Work Near Unverified Drain Line,Safety
Contractor Hot Work Overlapping With Live Equipment Testing,Safety
Worker Temporarily Unaccounted for During Confined Space Prep,Near Miss
Worker Lost Visibility Near Unguarded Grating During Inspection,Near Miss
Worker Entered Temporary Platform Without Tie ‑ Off,Near Miss
Unexpected Vapour Release During Transfer Line Warm ‑ Up,Safety
Vapour Puff During Additive Injection Line Start ‑ Up,Near Miss
Overpressure and Toxic Release During Reactor Heat ‑ Up,Incident
Contractor Exposed to Vapour During Temporary Line Disconnection,Safety
